COMPANY_NAME,STOCK_CODE,F_STD_DT,RGT_STD_DT,DETAIL_TYPE,REP_SECN_NM,CALTOT_MART_TPCD,ISSU_OBJ_TPCD,SETACC_MM,PVAL,AG_ORG_TPCD,ROST_CLOSE_BEGIN_DT,ROST_CLOSE_EXPRY_DT,TOTAL_ISSU_QTY,TAXA_STND_RATIO,LONGTM_TAX_RDEX_TPCD_NM,ICAP_FNRS_CD,ISSU_FORM,SHOTN_ISIN,KOR_SECN_NM,STK_KACD,PAY_COST_TPCD_NM,ESTM_STD_TPCD_NM,ESTM_STD_DT,RN,PAY_TERM_BEGIN_DT,NEWN_ISSU_NTIMES,ISSU_QTY,ISSU_DT,STK_ALOC_RATIO,ESTM_STDPRC,DIV_RECKON_DT,DELI_DT,LIST_DT,APLI_CD
유한양행,000100,2024/01/01,20240101,basic,유한양행,유가증권시장,주주배정,12,1000,KSD,20240102,,"      80,828,541",.0823886945,No,주식발행초과금,전자증권,,,,,,,,,,,,,,,,,
유한양행,000100,2024/01/01,20240101,pre_issued_stock,,,,,,,,,,,,,,000100,유한양행,보통주,,,,,,,,,,,,,,
유한양행,000100,2024/01/01,20240101,pre_issued_stock,,,,,,,,,,,,,,000105,유한양행1우,우선주,,,,,,,,,,,,,,
유한양행,000100,2024/01/01,20240101,payment,,,,,,,,,,,,,,,,,단주대금,상장일종가,20240119,1,20240126,,,,,,,,,
유한양행,000100,2024/01/01,20240101,payment,,,,,,,,,,,,,,,,,단주대금,상장일종가,20240119,2,,,,,,,,,,
유한양행,000100,2024/01/01,20240101,issued_stock,,,,,,,,,,,,,,000100,유한양행,보통주,,,,,,51,3570407,20240101,5,59700,20240101,20240119,20240119,일반상장
유한양행,000100,2023/01/01,20230101,basic,유한양행,유가증권시장,주주배정,12,1000,KSD,,,"      80,828,541",.0842438982,미정,주식발행초과금,전자증권,,,,,,,,,,,,,,,,,
유한양행,000100,2023/01/01,20230101,pre_issued_stock,,,,,,,,,,,,,,000100,유한양행,보통주,,,,,,,,,,,,,,
유한양행,000100,2023/01/01,20230101,pre_issued_stock,,,,,,,,,,,,,,000105,유한양행1우,우선주,,,,,,,,,,,,,,
유한양행,000100,2023/01/01,20230101,payment,,,,,,,,,,,,,,,,,단주대금,상장일종가,20230120,1,20230130,,,,,,,,,
유한양행,000100,2023/01/01,20230101,payment,,,,,,,,,,,,,,,,,단주대금,상장일종가,20230120,2,,,,,,,,,,
